,Year,Player,Team,Pos,G,MP,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
559,2021,Tianna Hawkins,ATL,F,28,433,28,8,15.5,1.8,4.5,0.397,0.6,2.4,0.242,1.2,2.1,0.567,0.8,0.8,0.913,0.5,3.1,0.6,0.4,0.5,1.1,2.2,4.9
560,2021,Tiffany Hayes,ATL,G,21,595,21,19,28.3,5,11.4,0.438,1.6,4,0.405,3.4,7.4,0.455,3,3.6,0.853,0.7,3.2,3,1.6,0.2,1.5,3.1,14.7
561,2021,Shyla Heal,CHI,G,4,31,4,0,7.8,0.3,2,0.125,0,0.8,0,0.3,1.3,0.2,1.5,1.5,1,0.3,0.8,0.8,0,0,2.5,1.5,2
562,2021,Ruthy Hebard,CHI,F,30,505,30,6,16.8,2.4,4.6,0.529,0,0.1,0,2.4,4.5,0.537,0.9,1.1,0.794,1.4,4.4,0.8,0.7,0.7,0.6,2,5.8
563,2021,Natisha Hiedeman,CON,G,32,644,32,5,20.1,2.4,6.1,0.4,1.6,4,0.398,0.8,2.1,0.403,1.1,1.6,0.7,0.2,1.9,1.9,0.8,0.2,0.9,1.9,7.6
564,2021,Myisha Hines-Allen,WAS,F,18,462,18,17,25.7,4.9,11.9,0.414,0.7,2.3,0.317,4.2,9.7,0.437,2.3,3.1,0.732,1.8,7,2.5,1.3,0.6,1.8,2.5,12.9
565,2021,Natasha Howard,NYL,F,13,357,13,13,27.5,6.7,13.5,0.494,0.9,2.8,0.333,5.8,10.8,0.536,1.8,2.4,0.774,2.2,7.2,1.7,1.3,0.5,3.8,2.9,16.2
566,2021,Sabrina Ionescu,NYL,G,30,899,30,26,30,3.8,9.9,0.379,1.8,5.5,0.325,2,4.4,0.447,2.4,2.6,0.911,0.7,5.7,6.1,0.6,0.5,3.2,1.8,11.7
567,2021,Briann January,CON,G,29,877,29,29,30.2,2.4,5.8,0.425,0.9,2.4,0.38,1.5,3.3,0.458,1.1,1.3,0.868,0.3,1.4,3.1,0.9,0.1,1.8,2,7
568,2021,Moriah Jefferson,DAL,G,29,500,29,28,17.2,2.3,5.1,0.449,0.8,1.7,0.46,1.5,3.3,0.443,0.1,0.2,0.6,0.4,2,2.5,0.8,0.2,1.4,1.4,5.4
569,2021,Stella Johnson,WAS,G,6,31,6,0,5.2,0.5,1.3,0.375,0.3,0.8,0.4,0.2,0.5,0.333,0.7,0.7,1,0.5,0.5,0.3,0,0.2,0.8,1.2,2
570,2021,Brionna Jones,CON,F,32,980,32,32,30.6,6.1,10.6,0.571,0,0.1,0,6.1,10.5,0.576,2.6,3.2,0.796,3.2,7.3,1.8,1.4,0.5,2.2,3,14.7
571,2021,Jazmine Jones,NYL,G,27,448,27,0,16.6,2,5.5,0.356,0.7,1.7,0.383,1.3,3.8,0.343,1.3,1.7,0.761,0.4,2.4,1.1,0.5,0.4,1.6,2.4,5.9
572,2021,Jonquel Jones,CON,F,27,856,27,27,31.7,7.1,13.8,0.515,1.6,4.3,0.362,5.6,9.5,0.584,3.6,4.5,0.802,2.5,11.2,2.8,1.3,1.3,2.9,3.1,19.4
573,2021,Stephanie Jones,CON,F,18,99,18,0,5.5,0.7,1.6,0.414,0,0.1,0,0.7,1.5,0.444,0.1,0.1,0.5,0.6,1.2,0.2,0.1,0.1,0.2,0.5,1.4
574,2021,Awak Kuier,DAL,F-C,16,142,16,0,8.9,0.8,2.4,0.308,0.2,1.1,0.167,0.6,1.3,0.429,0.7,0.9,0.786,0.6,2.4,0.6,0.3,0.8,1,0.6,2.4
575,2021,Betnijah Laney,NYL,G-F,32,1069,32,32,33.4,6.3,14.1,0.451,1.1,3.4,0.312,5.3,10.7,0.496,3,3.8,0.787,0.8,4.1,5.2,0.7,0.1,3.7,2.2,16.8
576,2021,Jantel Lavender,IND,F,27,539,27,14,20,2.8,7,0.404,0.1,0.7,0.2,2.7,6.2,0.429,0.7,0.7,0.9,1.7,3.9,1.5,0,0.1,1.4,1.8,6.4
